Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
45,"gentisic acid, HBAD",0.6262439,142.7,G,224.2,B,245.7,V,1,326,,,2,224,320,
46,"Leptosperine, HCAD",0.014,137.1,G,188,CB,207,CB,1,265,,,2,229,313,
47,"methyl paraben, HBAD",0.6756821,127.9,G,178.9,T,219.9,B,1,257,,,2,224,352,
48,"methyl syringate, HBAD",0.6103531,137.5,G,175.3,T,202.8,CB,1,277,,,2,237,312,
49,"Methyl-3,4,5-trimethoxybenzoate, HBAD",0.6703852,141.1,G,185.5,CB,120,G,1,265,,,2,230,311,
50,"m-hydroxybenzoic acid, HBAD",0.6439004,137.5,G,181.3,CB,184,CB,1,298,,,2,223,310,
51,"m-Toluic Acid, HBAD",0.681,137.3,G,159.6,T,188.9,CB,1,284,,,2,221,333,
52,"o-Anisic acid , HBAD",0.5891653,138.1,G,206.3,CB,193,CB,1,299,,,3,221,264,310
53,"o-Toluic Acid, HBAD",0.6916,137.6,G,174.5,T,214.7,B,1,281,,,2,221,335,
54,"p-hydroxybenzoic acid, HBAD",0.6368378,129.6,G,183.8,CB,180,CB,1,257,,,2,225,344,
55,"protocatechuic acid, HBAD",0.5768057,136.1,G,183,CB,245.9,V,2,261,295,,2,225,312,
56,"resorcylic acid, HBAD",0.63,143.5,G,213.7,B,225.5,B,2,246,313,,2,224,311,
57,"salicylic acid, HBAD",0.6792,139.8,G,210.5,B,180.9,CB,1,301,,,2,223,304,
58,"syringic acid, HBAD",0.5768,137.3,G,191.5,CB,215.2,B,1,277,,,2,225,313,
59,"vanillic acid, HBAD",0.6227126,135.8,G,191.5,CB,208.7,CB,2,263,294,,2,228,312,
60,"vanillic acid methyl ester, HBAD",0.6580256,135.2,G,178.9,T,230.9,B,2,263,294,,2,225,347,
61,"caffeic acid, HCAD",0.5891653,139.3,G,211.1,B,196.5,CB,1,321,,,2,224,344,
62,"caffeic acid dimethyl ether, HCAD",0.6085874,141.9,G,239.3,B,223,B,1,317,,,2,223,342,
63,"CAPE, HCAD",0.6756821,140.3,G,234.8,B,208.7,CB,1,325,,,2,225,337,
64,"chlorogenic acid, HCAD",0.09654889999999999,137.9,G,195.9,CB,201,CB,1,329,,,2,222,343,
65,"ferulic acid, HCAD",0.61565,139.4,G,209.2,CB,205.5,CB,1,319,,,2,224,346,
66,"isoferulic acid, HCAD",0.5997592,140.4,G,227.4,B,215.8,B,1,320,,,2,224,344,
67,"m-coumaric acid, HCAD",0.633,143.4,G,214.6,B,220.4,B,1,280,,,2,224,315,
68,"methyl ferulate, HCAD",0.6668539,138.2,G,236.2,B,228.4,B,1,324,,,2,224,360,
69,"Neochlorogenic Acid, HCAD",0.0541733,140.5,G,228.4,B,216.5,B,1,329,,,2,224,338,
70,"o-coumaric acid, HCAD",0.6457,146.1,G,205.2,CB,203.9,CB,2,279,321,,2,224,341,
71,"p-coumaric acid, HCAD",0.63,135.7,G,198.8,CB,205.3,CB,1,307,,,2,223,354,
72,"p-MCA, HCAD",0.65,137.4,G,190.9,CB,130.9,G,1,307,,,2,222,,
73,"rosmarinic acid, HCAD",0.63,131.4,G,175.3,T,133.9,G,1,307,,,2,224,341,
74,"sinapic acid, HCAD",0.63,138.7,G,224.1,B,198.1,CB,1,328,,,2,222,342,
75,"t-cinnamic acid, HCAD",0.6721508,140.3,G,242.2,V,222,B,1,279,,,2,229,347,
76,"trans-p-coumaric acid methyl ester, HCAD",0.6739165,136.4,G,193.3,CB,202.4,CB,1,309,,,3,222,246,361
77,"3,4-Dihydroxyphenylacetic acid, HPAAD",0.5556179,137.4,G,180,CB,235.3,B,1,283,,,3,224,254,352
78,"Homogentisic Acid, HPAAD",0.545024,138.8,G,183.6,CB,132.2,G,1,294,,,3,224,259,352
79,"Homovanillic Acid, HPAAD",0.6544943,137.3,G,176.9,T,212.7,B,1,282,,,3,222,256,351
80,"Mandelic Acid, HPAAD",0.161878,138.5,G,165.4,T,207.7,CB,1,292,,,2,223,351,
81,"Phenylacetic Acid, HPAAD",0.67,135.5,G,174.5,T,343.2,S,1,260,,,2,239,336,
82,"p-Hydroxyphenylacetic acid, HPAAD",0.62,138.1,G,178.8,T,180,CB,1,277,,,3,222,252,330
83,"L-β -Phenyllactic Acid, HPLAD",0.5238,138.4,G,185.5,CB,226.1,B,1,261,,,2,233,324,
84,"DL-p-Phenyllactic Acid, HPLAD",0.61565,139.2,G,120,G,171.1,T,1,278,,,3,223,253,330
85,"p-methoxyphenyllactic acid, HPLAD",0.6580256,138,G,178.7,T,192.2,CB,1,276,,,3,222,251,336
86,"3-Phenylpropanoic acid, HPPAD",0.6827447,138.6,G,177.8,T,230.2,B,1,260,,,2,230,327,
87,"Phloretic acid, HPPAD",0.6297752,140.7,G,187.7,CB,189.8,CB,1,278,,,3,221,248,341
88,"2-Methoxy-4-vinylphenol, AMPh",0.6880417,121.7,G,189.2,CB,191.1,CB,1,266,,,2,224,336,
89,"p-methoxyphenol, AMPh",0.6845,134.4,G,171.4,T,234.8,B,1,288,,,3,223,252,313
90,"4-methylpyrocatechol, APh",0.6739165,136.6,G,180,CB,160.9,T,1,283,,,2,223,341,
91,"Isopseudocumenol, APh",0.7251203,138.1,G,179,T,189.8,CB,1,279,,,2,247,353,
92,"Thymol, AMPh",0.7321,140,G,120,G,130.9,G,1,278,,,2,244,347,
93,"Acetaminophen, p-AmPh",0.4726,121.3,G,170.7,T,183.1,CB,1,247,,,2,221,352,
94,"Pyrogallol, Phenol",0.6015,136.6,G,185.7,CB,51.1,O,1,270,,,2,224,350,
95,"Pyrocatechol, Phenol",0.6615569,137.4,G,180.8,CB,75.3,Y,1,277,,,3,226,240,336
96,"2-methylbenzaldehyde, HBzd",0.7092295,133.9,G,188.2,CB,193.9,CB,1,255,,,2,222,347,
97,"p-anisaldehyde, HBzd",0.6597913,120,G,203.4,CB,346.6,S,1,286,,,2,224,350,
98,"Protocatechualdehyde, HBzd",0.5944622,134.9,G,231.9,B,232.9,B,2,283,314,,3,221,250,342
99,"Vanillin, HBzd",0.6368378,136.2,G,221.6,B,223.7,B,2,284,312,,3,221,248,341
100,"2-Hydroxyacetophenone, HAPh",0.7039325,132.6,G,151.9,T,180,CB,2,256,330,,2,228,340,
101,"2-Methoxyacetophenone, HAPh",0.6686195,139.1,G,240.8,V,203.9,CB,2,256,330,,2,225,340,
102,"Dibenzyl oxalate, OE",0.014,138.6,G,199.1,CB,278.2,P,2,262,393,,2,222,350,
103,"Absiscic Acid, Non Phenolic",0.598,126.9,G,171.4,T,204.6,CB,1,268,,,2,221,344,
104,"benzophenone, Non Phenolic",0.726886,120,G,171.4,T,196.1,CB,1,260,,,2,224,363,
105,"Kojic Acid, Non Phenolic",0.2872391,135.9,G,216.8,B,227.9,B,1,277,,,2,221,369,
106,"Lepteridine, Non Phenolic",0.3137239,147.9,G,195.1,CB,208.9,CB,1,329,,,2,227,323,
107,"Lumichrome, Non Phenolic",0.4638041,152.5,T,208.6,CB,220.9,B,2,261,357,,2,225,355,
